::1 - - [09/Aug/2024:09:19:52 +0200] "GET / HTTP/1.1" 200 35464
::1 - - [09/Aug/2024:09:19:56 +0200] "GET /login HTTP/1.1" 200 5405
::1 - - [09/Aug/2024:09:19:57 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:19:57 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:19:57 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:20:24 +0200] "POST /login HTTP/1.1" 302 385
::1 - - [09/Aug/2024:09:20:25 +0200] "GET /dashboard HTTP/1.1" 200 26990
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:20:26 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:20:36 +0200] "GET /sites HTTP/1.1" 200 28074
::1 - - [09/Aug/2024:09:20:41 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:20:47 +0200] "POST /livewire/update HTTP/1.1" 200 18367
::1 - - [09/Aug/2024:09:45:41 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:45:42 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:45:43 +0200] "POST /livewire/update HTTP/1.1" 500 1173645
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:47:41 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:47:42 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:47:43 +0200] "POST /livewire/update HTTP/1.1" 500 1182099
::1 - - [09/Aug/2024:09:49:31 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:49:33 +0200] "POST /livewire/update HTTP/1.1" 500 1174030
::1 - - [09/Aug/2024:09:49:58 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:50:00 +0200] "POST /livewire/update HTTP/1.1" 500 1204871
::1 - - [09/Aug/2024:09:50:26 +0200] "GET /contents HTTP/1.1" 500 13282
::1 - - [09/Aug/2024:09:50:27 +0200] "GET /favicon.ico HTTP/1.1" 200 -
